id,text
1000000001,确定
1000000002,取消
1000000003,等级：
1000000004,升级至
1000000005,净水
1000000006,钛钢
1000000007,石墨
1000000008,硅晶
1000000009,发展度
1000000010,等级
1000000011,万
1000000012,亿
1000000013,成功获得<color=#90EE90>%s</color>个<color=%s>%s</color>
1000000014,成功使用了<color=#90EE90>%s</color>个<color=%s>%s</color>
1000000015,指挥官！当前资源不足请注意检查！
1000000016,建造中
1000000017,卸载
1000000018,升级
1000000019,替换
1000000020,筛选
1000000021,跳过
1000000022,关闭
1000000023,暂未开发 敬请期待
1000000024,培养
1000000025,已装载
1000000026,升星
1000000027,重置
1000000028,%s星：
1000000029,点击空白区域关闭
1000000030,%s
1000000031,已拆解
1000000032,已满级
1000000033,已满星
1000000034,秒
1000000035,激活成功，获得%s个%s
1000000036,可进修
1000000037,出征中
1000000038,编队中
1000000039,进修中
1000000040,中止
1000000041,加速升级
1000000042,行军中
1000000043,发掘中
1000000044,战斗中
1000000045,驻守中
1000000046,住院中
1000000047,%s天%s小时%02s分%02s秒
1000000048,%s小时%02s分%02s秒
1000000049,%02s分%02s秒
1000000050,%02s秒
1000000051,时间:%s
1000000052,数量：%s/%s
1000000053,开始修理
1000000054,取消修理
1000000055,%s岁
1000000056,{0}秒
1000000057,[%s]
1000000058,等级%s  %s
1000000059,今日不再弹出此弹窗
1000000060,该特战兵正在特战学院进修，请进修完成后再派遣。
1000000061,装备
1000000062,发展度
1000000063,工业度
1000000064,宜居度
1000000065,算法归纳出的地下城发展程度数值。可视为地下城的繁荣程度指标。
1000000066,代表地下城工业发展程度的数值，工业度的均衡影响地下城的建造与生产效率。
1000000067,代表地下城整体环境状态的数值，提升宜居度会推动地下城的整体发展。
1000000068,尚未获得该类物资
1000000069,选择服务器
1000000070,爆满
1000000071,拥挤
1000000072,流畅
1000000073,维护
1000000074,%s服
1000000075,[推荐]
1000000076,新
1000000077,名称：
1000000078,等级：
1000000079,收藏
1000000080,一键读取
1000000081,删除已读
1000000082,邮件
1000000083,写信
1000000084,领取
1000000085,新建邮件
1000000086,收件人
1000000087,标题
1000000088,字色：
1000000089,发送
1000000090,请选择收件人
1000000091,请输入邮件标题
1000000092,请输入邮件正文
