id,guid,mapId,pos,type,x,z,yaw,args
1003693,11003693,0,0|0,4,92,7,0,1204
1003694,11003694,0,0|0,4,88,31,180,1004
1003695,11003695,0,0|0,4,93,60,270,1206
1003696,11003696,0,0|0,4,87,70,270,1102
1003697,11003697,0,0|0,4,86,85,180,1204
1003698,11003698,0,0|0,4,75,57,270,1104
1003699,11003699,0,0|0,4,62,71,0,1305
1003700,11003700,0,0|0,4,61,83,270,1104
1003701,11003701,0,0|0,4,65,94,270,1305
1003702,11003702,0,0|0,4,51,10,180,1004
1003703,11003703,0,0|0,4,49,81,180,1105
1003704,11003704,0,0|0,4,22,76,90,1206
1003705,11003705,0,0|0,4,11,7,90,1004
1003706,11003706,0,0|0,4,13,60,180,1202
1003707,11003707,0,0|0,4,19,72,180,1305
1004184,11004184,0,0|0,4,98,68,0,1305
1004185,11004185,0,0|0,4,88,48,180,1004
1004402,11004402,0,0|0,4,74,94,90,1102
1004524,11004524,0,0|0,4,49,93,0,1007
1004525,11004525,0,0|0,4,26,80,90,1204
1004757,11004757,0,0|0,4,81,10,270,1205
1004758,11004758,0,0|0,4,69,49,180,1205
1008517,11008517,0,0|0,4,93,10,0,1006
1008518,11008518,0,0|0,4,91,21,90,1005
1008519,11008519,0,0|0,4,88,73,270,1307
1008520,11008520,0,0|0,4,87,88,90,1003
1008521,11008521,0,0|0,4,76,60,0,1306
1008522,11008522,0,0|0,4,77,71,90,1102
1008523,11008523,0,0|0,4,82,89,180,1104
1008524,11008524,0,0|0,4,67,64,90,1207
1008525,11008525,0,0|0,4,63,74,270,1004
1008526,11008526,0,0|0,4,62,86,180,1204
1008527,11008527,0,0|0,4,56,38,180,1104
1008528,11008528,0,0|0,4,49,70,0,1105
1008529,11008529,0,0|0,4,50,84,0,1106
1008530,11008530,0,0|0,4,41,73,90,1005
1008531,11008531,0,0|0,4,33,61,270,1204
1008532,11008532,0,0|0,4,23,79,180,1106
1008533,11008533,0,0|0,4,12,10,180,1204
1008534,11008534,0,0|0,4,20,75,0,1105
1009007,11009007,0,0|0,4,89,51,90,1104
1009008,11009008,0,0|0,4,83,21,180,1103
1009236,11009236,0,0|0,4,75,97,90,1204
1009364,11009364,0,0|0,4,50,96,0,1205
1009365,11009365,0,0|0,4,27,83,90,1104
1009445,11009445,0,0|0,4,41,10,90,1103
1009577,11009577,0,0|0,4,82,13,0,1104
1013333,11013333,0,0|0,4,93,12,90,1205
1013334,11013334,0,0|0,4,91,23,0,1103
1013335,11013335,0,0|0,4,89,36,270,1007
1013336,11013336,0,0|0,4,94,65,0,1305
1013337,11013337,0,0|0,4,88,75,180,1205
1013338,11013338,0,0|0,4,87,90,180,1005
1013339,11013339,0,0|0,4,82,91,270,1204
1013340,11013340,0,0|0,4,63,76,180,1102
1013341,11013341,0,0|0,4,66,99,90,1305
1013342,11013342,0,0|0,4,52,15,90,1205
1013343,11013343,0,0|0,4,49,72,180,1205
1013344,11013344,0,0|0,4,50,86,270,1104
1013345,11013345,0,0|0,4,29,13,180,1306
1013346,11013346,0,0|0,4,14,65,270,1004
1013347,11013347,0,0|0,4,20,77,270,1104
1013795,11013795,0,0|0,4,99,73,0,1204
1013796,11013796,0,0|0,4,83,23,270,1004
1013797,11013797,0,0|0,4,41,61,270,1004
1014128,11014128,0,0|0,4,50,98,90,1005
1014216,11014216,0,0|0,4,41,12,90,1006
1014345,11014345,0,0|0,4,82,15,270,1007
1017598,11017598,0,0|0,4,99,32,90,1104
1017599,11017599,0,0|0,4,99,61,180,1104
1017600,11017600,0,0|0,4,88,18,0,1005
1017601,11017601,0,0|0,4,86,31,270,1104
1017602,11017602,0,0|0,4,91,60,180,1106
1017603,11017603,0,0|0,4,79,86,180,1106
1017604,11017604,0,0|0,4,64,61,180,1104
1017605,11017605,0,0|0,4,59,83,0,1204
1017606,11017606,0,0|0,4,63,94,90,1204
1017607,11017607,0,0|0,4,49,10,0,1005
1017608,11017608,0,0|0,4,51,62,90,1002
1017609,11017609,0,0|0,4,26,8,0,1104
1017610,11017610,0,0|0,4,9,7,270,1306
1017611,11017611,0,0|0,4,11,60,270,1104
1017612,11017612,0,0|0,4,17,72,180,1006
1018012,11018012,0,0|0,4,96,68,270,1206
1018013,11018013,0,0|0,4,86,48,270,1006
1018014,11018014,0,0|0,4,80,18,180,1005
1018015,11018015,0,0|0,4,10,51,270,1203
1018199,11018199,0,0|0,4,72,94,270,1104
